Number of Posts,Followers,Following,Label
0,52,93,0
0,17,78,0
4,319,943,0
23,199,557,0
285,2015,496,0
0,6,84,1
0,5,129,1
222,419,1565,0
160,201,325,0
5,2887,625,0
308,3877,951,0
74,568,314,0
102,829,61,0
14,83,117,0
61,1147,63,0
0,66,316,1
79,1033,238,0
1,0,191,1
0,1,511,1
0,5,300,1
0,330,302,0
3,212,127,0
33,135,2626,0
416,302,891,0
0,9,114,1
3,209,354,0
0,43,188,0
257,325,416,0
0,518,6600,1
62,403,472,0
12,198,306,0
28,1646,674,0
52,822,1113,0
0,395,2515,1
0,65,1137,1
0,39,508,1
17,15,274,1
152,958,1035,0
41,158,515,0
36,663,535,0
13,78,76,0
0,150,314,0
0,268,266,0
0,254,489,0
9,827,851,0
278,1758,934,0
324,233,395,0
0,36,1122,1
4,1016,425,0
12,273,264,0
29,34,128,0
37,2030,861,0
0,14,80,0
13,85,186,0
16,1089,125,0
0,127,94,0
42,17,225,0
23,488,328,0
130,601,1080,0
41,344,1754,0
74,116,559,1
164,306,424,0
29,23,19,0
2,137,364,0
0,12,27,0
0,982,735,0
0,90,120,0
32,1319,1936,0
238,2327,2345,0
25,86,191,0
0,5,200,1
0,0,34,1
0,0,680,1
1,36,294,0
33,91,26,0
11,63,1800,1
0,31,449,1
11,112,203,0
10,495,1289,0
9,124,170,0
9,358,1967,0
3,105,15,0
2,1229,757,0
0,765,3660,1
0,8,89,1
0,18,133,0
0,241,753,0
2,16,22,0
0,123,188,0
103,91,1341,1
12,533,536,0
113,1154,576,0
40,214,64,0
133,249,427,0
1,257,348,0
0,93,436,0
2,115,269,0
28,327,427,0
0,0,641,1
0,67,523,1
0,7,86,1
0,66,121,0
5,569,1008,0
3,448,260,0
0,46,152,0
61,290,1154,1
8,248,306,0
21,1233,883,0
25,329,1301,0
9,110,174,0
14,545,174,0
68,60,544,1
2,209,249,0
25,118,259,0
1,35,96,0
541,1360,558,0
2,6,123,0
0,1012,287,0
31,114,340,0
0,338,903,0
8,28,252,0
21,1135,256,0
1,277,1934,1
78,1213,342,0
29,222,556,0
14,150,68,0
129,649,1163,0
47,44,121,0
46,1793,811,0
31,791,969,0
0,1556,1180,0
0,17,25,0
283,751,4610,0
97,785,493,0
8,611,119,0
139,438,251,0
2,88,444,0
10,110,212,0
0,85,215,0
8,592,187,0
0,25,163,0
223,270,36,0
20,104,91,0
7,432,165,0
0,0,126,1
17,553,943,0
0,37,133,0
7,119,409,0
0,0,779,1
34,3739,665,0
27,363,594,0
20,53,190,0
99,84,110,0
0,35,264,0
0,2,44,1
1,12,220,0
0,209,459,0
0,110,184,0
183,270,1073,0
9,1177,202,0
21,1,58,1
45,1017,432,0
0,3,133,1
14,78,29,0
11,70,1487,1
67,2201,383,0
92,9016,55,0
69,496,365,0
3,310,326,0
289,609,406,0
57,223,458,0
19,38,1191,1
299,483,1791,0
3,264,117,0
252,259,2469,0
0,312,386,0
62,1778,175,0
195,1033,281,0
20,1486,410,0
0,172,637,0
0,9,190,1
3,8,56,0
98,1225,2013,0
137,4706,308,0
166,103,162,0
3,2490,468,0
74,5028,549,0
0,16,27,0
54,1549,460,0
0,891,516,0
245,1199,3423,0
161,73,66,0
0,249,200,0
181,319,470,0
4,96,101,0
3,644,1814,0
7,277,533,0
0,13,445,0
22,546,260,0
3,56,1264,1
0,441,414,0
286,227,221,0
0,16,285,1
14,74,214,0
6,633,723,0
104,679,381,0
64,2536,1216,0
0,21,46,0
587,33231,249,0
0,28,129,0
36,731,517,0
51,201,68,0
103,111,641,0
0,20,149,0
61,90,132,0
223,205,793,0
55,7076,491,0
76,1132,1234,0
0,401,2079,0
10,82,236,0
134,611,1195,1
30,632,354,0
0,60,478,0
421,5733,584,0
10,1335,652,0
171,10743,7508,0
66,179,333,0
51,1021,1157,0
253,95,526,0
72,517,392,0
379,440,807,0
208,401,292,0
32,281,496,0
37,243,331,0
3,286,431,0
26,145,405,0
0,5,1050,1
2,47,49,0
14,168,191,0
0,58,354,0
0,434,765,0
468,1092,1696,0
3,45,9,0
0,60,879,1
0,233,306,0
512,1239,214,0
13,119,239,0
0,41,17,0
56,717,800,0
15,351,210,0
0,563,541,0
7,81,142,0
10,432,466,0
11,594,839,0
188,1508,1220,0
2,25,1167,1
27,165,1222,1
30,136,1999,1
118,235,328,0
4,3051,383,0
5,278,137,0
63,184,1128,1
0,10,179,1
7,191,1217,1
0,31,75,0
8,934,869,0
277,523,166,0
262,984,192,0
0,31,206,1
7,628,1080,0
0,5,1124,1
11,528,196,0
1,159,309,0
9,88,5222,1
3,226,659,0
0,139,1352,1
25,614,280,0
66,111,550,0
106,173,510,0
0,0,37,1
98,549,1001,0
42,395,587,0
0,691,230,0
0,133,147,0
0,36,123,0
126,2402,194,0
167,903,824,0
16,283,361,0
739,2170,828,0
1,553,477,0
0,16,156,0
11,552,635,0
0,78,101,0
363,126,364,0
5,53,829,1
77,342,755,0
76,306,246,0
3,0,281,1
0,1,26,1
17,311,683,0
0,16,51,0
16,202,919,0
1,18,159,0
0,115,201,0
10,143,145,0
0,653,142,0
127,430,359,0
50,246,3027,1
88,570,1717,0
0,60,223,
294,402,70,0
0,14,45,0
343,3326,191,0
0,89,950,1
288,1220,669,0
0,55,184,0
42,159,433,0
46,845,1073,0
1,2,90,1
2,42,60,0
89,146,1063,0
0,12,14,0
52,181,1407,0
28,331,621,0
1,313,417,0
0,50,25,0
1,103,310,0
89,1169,942,0
176,483,338,0
0,479,472,0
47,2551,156,0
62,135,7501,1
88,113,1060,1
1,2,123,1
0,0,4813,1
105,153,209,0
164,971,390,0
7,12,9,0
0,17,605,1
22,54,99,0
0,23,156,0
5,341,239,0
17,344,800,0
2,183,98,0
366,1407,193,0
608,1350,7564,0
16,1161,1765,0
0,1272,841,0
12,708,275,0
54,487,374,0
0,30,480,1
171,806,438,0
12,293,7336,1
59,917,2107,0
0,388,2369,1
1,5,67,0
5,26,49,0
35,2147,247,0
0,1,1540,1
3,107,368,0
0,0,4,1
187,2067,208,0
395,1067,3781,0
0,2,24,1
38,100,168,0
0,1,151,1
7,214,149,0
0,40,1343,1
38,559,557,0
0,10,326,1
0,181,631,0
80,0,89,1
0,228,151,0
6,114,317,0
0,6,19,0
0,40,829,1
306,2703,198,0
203,383,1135,0
22,61,68,0
47,1318,211,0
9,102,754,0
673,164,452,0
6,3775,273,0
0,60,1300,1
98,1409,181,0
