Number of Posts,Followers,Following,Label,username_length,username_digits,username_special_chars,name_username_similarity,bio_length,bio_suspicious,follower_following_ratio
0.0102637815819686,-0.8978695860187216,-0.7918508260616127,0.0,1.237646128731303,0,0,1,-0.8504304995409417,0,-0.6217318746674194
-0.0710763555087684,1.9509758241995443,1.8031940600260536,0.0,-0.3147331064464126,4,0,0,-0.1352656912420753,0,-0.0974949425803599
0.891448600064953,0.0453808380079696,0.9878692892505616,0.0,-1.8671123416241284,3,0,0,2.8048562984310417,0,-0.384571728955899
-0.1930865611448739,-0.2677630274583812,-0.3172587953116995,0.0,0.6166944346602168,3,1,0,-0.823942914048391,0,-0.2112110212764986
-0.4099935933868393,-0.90168841364636,2.706744272415312,1.0,0.6166944346602168,0,0,1,-0.8504304995409417,0,-0.6275275127742269
-0.3964369038717165,2.3481338974739403,0.8418409720967424,0.0,0.92717028169576,3,0,0,-0.4531167171526826,0,0.267165285149993
-0.3286534562961022,-0.8329495163488683,-1.1234567962650777,0.0,-1.246160647553042,0,0,0,-0.5060918881377838,0,0.6138981697039385
1.311705975033761,-0.0577275079382678,-0.6579915353372783,0.0,-0.0042572594108695,0,0,0,2.645930785475738,0,0.3075613618940572
-0.2744266982356109,-0.6534646178498623,-0.9013720639269772,0.0,0.6166944346602168,4,0,0,-0.559067059122885,0,-0.0874159373988537
-0.4099935933868393,-0.3479584076387882,1.958349147001987,1.0,0.6166944346602168,2,1,0,-0.8504304995409417,0,-0.5297721505719167
-0.2473133192053652,0.8969793989713387,-0.3963574671033517,0.0,-0.6252089534819558,0,0,1,0.6593618735344429,0,0.6770496769785975
-0.3693235248414708,0.4998213256969424,-0.1012585761883416,0.0,0.6166944346602168,0,0,1,-0.8504304995409417,0,0.1040126694182694
1.135469011337164,0.7442262938658016,1.8031940600260536,1.0,0.6166944346602168,4,0,0,-0.8504304995409417,0,-0.3217122011898137
1.3252626645488836,1.5156294746487635,2.731082325274281,0.0,0.92717028169576,3,0,1,2.778368712938492,0,-0.2856574801418947
-0.4099935933868393,-0.8558624821146988,-0.1043008327957128,0.0,-0.6252089534819558,4,1,0,-0.8504304995409417,0,-0.603538610697354
0.2949542613995481,0.0148302169868622,0.1056148731129026,0.0,-0.0042572594108695,2,0,0,-0.8504304995409417,0,-0.2277124781596808
-0.4099935933868393,-0.7336599980302693,-0.7888085694542415,0.0,-1.246160647553042,1,0,1,0.1825853346685319,0,-0.3746445033805266
0.97278873715569,0.8320593293014854,0.6471365492249831,0.0,1.8585978228023887,0,0,0,1.0037004849376008,0,-0.0986167959526361
-0.2608700087204881,1.7294838217965156,-0.8892030374974924,0.0,1.548121975766846,4,0,0,1.0831632414152526,0,4.834428395447076
2.5724780999401844,0.9886312620346608,-1.0048087885775994,0.0,0.6166944346602168,2,0,0,1.0037004849376008,0,6.339657439909354
0.8643352210347073,-0.8673189649976142,2.9257867481460407,1.0,-0.3147331064464126,0,0,1,0.0236598217132283,0,-0.62289878166879
-0.4099935933868393,-0.8978695860187216,2.2625748077391106,1.0,-0.3147331064464126,2,0,0,-0.8504304995409417,0,-0.6269133712473256
-0.3422101458112251,-0.6763775836156929,-0.9956820187554856,0.0,-0.3147331064464126,3,0,0,-0.8504304995409417,0,0.1549950862237619
-0.3286534562961022,-0.4319726154468336,1.0456721647906153,0.0,1.548121975766846,0,0,0,-0.8504304995409417,0,-0.5101959014749996
-0.4099935933868393,-0.8978695860187216,0.6015027001144144,1.0,-1.246160647553042,0,0,1,-0.8504304995409417,0,-0.6263322251924069
0.3085109509146709,-0.2601253722031044,-0.8040198524910976,0.0,1.237646128731303,0,0,1,1.321551510848208,0,0.3800063744544291
