Number of Posts,Followers,Following,Label,follower_following_ratio
0.091603919,0.988631262,0.400713764,0,0.040558716
-0.396436904,-0.512167996,1.070010218,0,-0.531292964
0.05093385,0.312698772,1.921842068,1,-0.410595231
-0.355766835,1.74857796,1.060883448,0,0.029943049
-0.409993593,-0.890231931,-1.071738434,1,-0.550896298
-0.409993593,-0.695471722,1.222123048,1,-0.579841507
-0.409993593,-0.416697305,-0.661033792,0,-0.086851718
-0.409993593,-0.611457514,-0.75230149,0,-0.23043849
-0.409993593,-0.901688414,-1.041315868,1,-0.627527513
-0.003292908,-0.787123585,-0.837484675,1,-0.428581089
-0.409993593,-0.878775448,-0.937879143,1,-0.569244617
0.498304604,0.335611738,2.283870604,1,-0.429778289
-0.409993593,-0.901688414,-0.977428479,1,-0.627527513
-0.409993593,-0.64964579,-0.776639543,0,-0.260439273
0.172944056,0.228684564,-0.07996278,0,-0.049211488
-0.409993593,-0.897869586,-1.023062328,1,-0.611488421
-0.396436904,0.725132156,0.726235221,0,-0.152116383
-0.409993593,-0.901688414,1.520264196,1,-0.627527513
-0.287983388,-0.221937096,-0.344639105,0,-0.166011699
-0.409993593,-0.355596063,-0.305089769,0,-0.274035134
-0.409993593,-0.863500137,1.985729456,1,-0.620844558
-0.409993593,-0.901688414,-0.791850826,1,-0.627527513
-0.409993593,1.718027339,-0.469371626,0,1.475233026
-0.409993593,-0.756572964,-0.764470517,0,-0.422778485
-0.409993593,-0.56945041,-0.828357905,0,-0.066758902
-0.23375663,-0.642008135,2.880152899,1,-0.59215926
-0.409993593,0.996268917,1.048714421,0,-0.154086319
-0.382880214,0.706038018,0.272938987,0,-0.00843226
1.311705975,-0.760391791,-0.712752154,1,-0.451539964
-0.260870009,0.289785806,0.102572617,0,-0.10650947
0.091603919,-0.221937096,-0.560639324,0,0.002027392
-0.260870009,-0.202842958,0.549784338,0,-0.402149636
5.283816003,-0.241031234,-1.105203257,0,6.829647594
-0.409993593,-0.378509029,0.08127682,0,-0.394802665
-0.409993593,-0.50453034,-0.819231136,0,0.024534462
-0.301540077,0.022467872,0.61975624,0,-0.341244861
-0.409993593,-0.901688414,0.823587432,1,-0.627527513
